Timestamp,Ax,Ay,Az,Gx,Gy,Gz
14:49:03.461092,0.65,1.68,1.68,-20.09,63.81,-171.07
14:49:03.563575,0.43,1.57,1.57,-31.98,61.01,-154.70
14:49:03.666023,0.10,1.53,1.53,-102.62,66.98,-34.76
14:49:03.772594,0.03,1.72,1.72,-211.55,-14.05,136.86
14:49:03.879987,-0.16,1.75,1.75,-213.23,-251.86,244.27
14:49:03.977348,0.92,1.12,1.12,-96.34,51.68,143.02
14:49:04.084213,0.53,1.05,1.05,47.90,312.23,-19.05
14:49:04.190295,0.75,1.23,1.23,158.87,-22.38,-251.92
14:49:04.292331,0.47,1.30,1.30,116.65,160.85,-387.01
14:49:04.394653,0.26,1.53,1.53,100.12,52.62,-327.68
14:49:04.497904,0.34,1.38,1.38,94.54,74.24,26.62
14:49:04.609249,-0.77,2.58,2.58,-142.84,-151.55,383.78
14:49:04.710130,0.49,1.85,1.85,-580.98,10.79,207.47
14:49:04.812286,0.88,1.77,1.77,113.48,-84.02,108.38
14:49:04.915023,0.73,1.63,1.63,15.58,-33.96,-50.82
14:49:05.020689,0.56,1.51,1.51,3.05,66.71,-116.25
14:49:05.124335,0.71,1.52,1.52,2.10,143.35,-36.74
14:49:05.229927,0.47,1.61,1.61,-63.48,73.51,-25.70
14:49:05.333118,0.32,1.58,1.58,-109.97,56.59,-18.81
14:49:05.439436,-0.06,1.94,1.94,-169.30,-79.66,120.98
14:49:05.546708,0.04,1.53,1.53,-136.01,-324.85,235.61
14:49:05.649134,0.84,1.27,1.27,-84.45,390.06,152.65
14:49:05.751001,0.59,1.19,1.19,97.38,81.13,-156.37
14:49:05.853592,0.55,1.29,1.29,144.45,47.04,-385.70
14:49:05.960520,0.34,1.47,1.47,156.22,112.23,-469.51
14:49:06.062811,0.11,1.41,1.41,83.05,75.09,-145.06
14:49:06.168568,0.07,1.37,1.37,85.27,-104.30,122.41
14:49:06.271318,1.43,2.29,2.29,349.33,-67.01,155.73
14:49:06.377789,0.80,1.86,1.86,201.55,-143.48,63.17
14:49:06.475365,0.50,1.63,1.63,0.88,3.66,-32.90
14:49:06.582567,0.51,1.63,1.63,-31.28,-5.40,-100.43
14:49:06.688962,0.41,1.55,1.55,-11.28,64.94,-82.90
14:49:06.791179,0.11,1.55,1.55,-58.05,91.83,-28.08
14:49:06.893842,0.35,1.62,1.62,-95.18,12.04,88.08
14:49:07.000353,0.16,1.80,1.80,-171.04,-64.45,174.70
14:49:07.106779,0.13,1.64,1.64,-74.09,-333.81,321.16
14:49:07.209184,0.83,1.13,1.13,-79.91,138.81,158.41
14:49:07.311616,0.50,1.11,1.11,29.91,323.29,-82.59
14:49:07.417780,0.55,1.32,1.32,143.29,-16.55,-375.06
14:49:07.520084,0.21,1.43,1.43,67.59,21.52,-385.03
14:49:07.622645,0.46,1.52,1.52,13.81,35.70,-41.68
14:49:07.732988,-1.22,4.00,4.00,213.60,-377.35,-269.27
14:49:07.836663,0.74,1.90,1.90,-309.70,48.84,-23.17
14:49:07.934252,0.99,1.65,1.65,89.02,-79.05,62.35
14:49:08.040750,0.75,1.63,1.63,17.71,-48.35,-130.91
14:49:08.143613,0.59,1.53,1.53,1.74,55.09,-186.28
14:49:08.249301,0.28,1.51,1.51,35.46,77.93,-125.52
14:49:08.354520,0.08,1.59,1.59,-66.01,66.13,25.79
14:49:08.459345,0.21,1.62,1.62,-217.16,31.04,155.55
14:49:08.564486,-0.01,1.68,1.68,-316.22,86.74,263.90
14:49:08.666753,0.68,1.57,1.57,-12.80,-118.78,259.82
14:49:08.769165,0.82,1.27,1.27,5.49,501.13,123.75
14:49:08.876252,0.59,1.18,1.18,182.53,48.99,-165.82
14:49:08.978414,0.54,1.17,1.17,126.10,156.01,-354.27
14:49:09.085021,0.30,1.44,1.44,154.42,75.06,-415.46
14:49:09.182961,0.25,1.26,1.26,69.21,11.95,29.57
14:49:09.294158,0.33,1.14,1.14,-912.26,-256.31,686.71
14:49:09.396417,0.19,1.53,1.53,-57.77,130.30,339.39
14:49:09.499387,0.88,1.67,1.67,167.26,-67.04,100.98
14:49:09.604894,0.65,1.63,1.63,103.51,-100.18,-101.01
14:49:09.707302,0.51,1.52,1.52,53.20,30.64,-138.35
14:49:09.813498,0.24,1.53,1.53,-21.68,146.59,-34.57
14:49:09.912829,0.32,1.63,1.63,15.73,77.13,49.24
14:49:10.018636,0.53,1.61,1.61,-23.93,43.20,145.73
14:49:10.125849,0.48,1.67,1.67,-102.38,50.85,93.29
14:49:10.228449,0.25,1.57,1.57,-173.23,56.95,133.81
14:49:10.334975,0.09,1.81,1.81,-228.29,-129.15,312.53
14:49:10.437460,1.07,1.38,1.38,-58.20,335.70,290.06
14:49:10.540049,0.88,1.08,1.08,171.10,305.95,79.97
14:49:10.645808,0.71,1.23,1.23,170.30,363.26,-91.80
14:49:10.751631,0.49,1.30,1.30,84.85,318.57,-261.01
14:49:10.854869,0.36,1.47,1.47,99.70,214.36,-309.70
14:49:10.957277,0.33,1.32,1.32,65.58,284.79,-16.16
14:49:11.063960,-1.02,1.44,1.44,-33.38,-291.22,571.07
14:49:11.169372,0.15,1.42,1.42,-283.90,160.52,334.91
14:49:11.268200,0.83,1.84,1.84,16.25,27.04,125.76
14:49:11.375009,0.73,1.74,1.74,61.74,-31.68,-27.01
14:49:11.477672,0.58,1.58,1.58,21.71,13.84,-91.43
14:49:11.584357,0.44,1.60,1.60,-39.57,136.98,-92.77
14:49:11.686347,0.45,1.56,1.56,-29.57,103.11,-57.41
14:49:11.789111,0.33,1.56,1.56,-61.83,86.01,-5.70
14:49:11.894955,0.09,1.59,1.59,-143.20,44.51,77.59
14:49:12.002076,0.12,1.69,1.69,-235.40,180.76,278.51
14:49:12.103820,0.66,1.60,1.60,-12.77,-42.93,265.12
14:49:12.210223,0.78,1.36,1.36,-77.01,530.18,244.60
14:49:12.312057,0.61,1.15,1.15,96.37,80.67,-88.57
14:49:12.415505,0.56,1.16,1.16,66.98,147.53,-333.69
14:49:12.521587,0.27,1.49,1.49,148.72,-6.52,-424.88
14:49:12.624042,0.25,1.39,1.39,67.16,171.19,39.42
14:49:12.731067,-1.64,2.62,2.62,179.42,-96.98,-119.54
